pc,pv,pm,pop_size,n_ger,run,best_fitness
0.7,0.5,0.1,100,100,7,480
0.7,0.5,0.1,100,100,8,448
0.7,0.5,0.1,100,100,9,513
0.7,0.5,0.1,100,200,0,525
0.7,0.5,0.1,100,200,1,557
0.7,0.5,0.1,100,200,2,564
0.7,0.5,0.1,100,200,3,519
0.7,0.5,0.1,100,200,4,545
0.7,0.5,0.1,100,200,5,523
0.7,0.5,0.1,100,200,6,513
0.7,0.5,0.1,100,200,7,508
0.7,0.5,0.1,100,200,8,473
0.7,0.5,0.1,100,200,9,521
0.7,0.5,0.1,200,100,0,489
0.7,0.5,0.1,200,100,1,518
0.7,0.5,0.1,200,100,2,495
0.7,0.5,0.1,200,100,3,526
0.7,0.5,0.1,200,100,4,485
0.7,0.5,0.1,200,100,5,484
0.7,0.5,0.1,200,100,6,494
0.7,0.5,0.1,200,100,7,480
0.7,0.5,0.1,200,100,8,524
0.7,0.5,0.1,200,100,9,512
0.7,0.5,0.1,200,200,0,499
0.7,0.5,0.1,200,200,1,497
0.7,0.5,0.1,200,200,2,546
0.7,0.5,0.1,200,200,3,516
0.7,0.5,0.1,200,200,4,505
0.7,0.5,0.1,200,200,5,512
0.7,0.5,0.1,200,200,6,451
0.7,0.5,0.1,200,200,7,546
0.7,0.5,0.1,200,200,8,464
0.7,0.5,0.1,200,200,9,454
0.7,0.7,0.01,100,100,0,432
0.7,0.7,0.01,100,100,1,451
0.7,0.7,0.01,100,100,2,479
0.7,0.7,0.01,100,100,3,462
0.7,0.7,0.01,100,100,4,442
0.7,0.7,0.01,100,100,5,494
0.7,0.7,0.01,100,100,6,436
0.7,0.7,0.01,100,100,7,513
0.7,0.7,0.01,100,100,8,450
0.7,0.7,0.01,100,100,9,478
0.7,0.7,0.01,100,200,0,429
0.7,0.7,0.01,100,200,1,448
0.7,0.7,0.01,100,200,2,429
0.7,0.7,0.01,100,200,3,407
0.7,0.7,0.01,100,200,4,490
0.7,0.7,0.01,100,200,5,477
